task,country,lga,burden,burden_raw_uncalibrated,ci_lo,ci_hi,population
pw,Nigeria,Orelope,91309.29505080853,94401.72448559137,50676.85051560656,142585.47354377285,154708.478424
pw,Nigeria,IfeCentral,90842.70245809884,89646.74845533758,33300.274151335456,162570.44665382648,155796.098718
pw,Nigeria,Asari-Toru,90455.79303732632,84839.38593856087,38750.56794782951,156481.53638066817,213212.55925999998
pw,Nigeria,AtakumosaEast,90395.8850662294,87531.9338596572,45146.363372079206,143357.27310774464,137690.62708
pw,Nigeria,Gashaka,90343.76150608534,92326.83734378702,60411.14520779826,129845.4015653365,123716.78009
pw,Nigeria,Ivo,89779.63068783359,89172.31082325285,56536.06902777997,131068.17676480745,162849.314405
pw,Nigeria,Kalgo,89751.15780836307,89251.69720127736,66069.50101384753,117779.51780652294,129096.872078
pw,Nigeria,Bayo,89674.59664415072,89939.35568123542,63711.05546417548,126301.45174021278,117954.16689000001
pw,Nigeria,Orolu,89536.34286110866,85478.73048550462,25638.194583457454,162570.7464535671,147402.664622
pw,Nigeria,Moba,89050.09106400817,88660.18399892282,40653.533361682494,146690.04120584624,195195.53458099999
pw,Nigeria,Guzamala,88463.50733737086,86826.31686349686,56581.14682714237,142287.89630784045,140434.071237
pw,Nigeria,Karasuwa,88392.43197230384,89851.70425574339,57992.91167091687,123706.82524012163,151025.96729
pw,Nigeria,OnitshaSouth,88107.51753525567,89171.62576318039,26187.365697811947,147778.65749385266,165704.015817
pw,Nigeria,Uhunmwonde,87960.59657624026,87052.01456238166,64306.91747313421,117556.54021450487,171850.059653
pw,Nigeria,Silame,87916.3766672209,88349.18623239895,59194.02281113828,120163.6638537372,136753.063728
pw,Nigeria,EsanCentral,87561.32175395996,85054.46462440443,60130.14598870886,115182.30950669502,142146.07057
pw,Nigeria,Imeko-Afon,87170.55289813547,85117.41845542302,45098.00201355015,155467.79783794607,124559.05659600001
pw,Nigeria,Ibi,86994.36723263032,88100.02897876047,61378.08588245404,122261.6411664178,115162.43866399999
pw,Nigeria,Odeda,85326.98454413326,84019.18353487876,61060.056738317944,110443.86128150766,164960.415164
pw,Nigeria,AtakumosaWest,84792.89359974174,84755.8662895013,49096.10180995595,132353.12408320935,121982.295728
pw,Nigeria,EsanWest,84328.06300841803,82315.39649762854,52175.491747009044,123491.88546242677,174598.765573
